,parameters,training_rmse_0,training_rmse_1,training_rmse_2,training_rmse_3,training_rmse_4,valid_1_rmse_0,valid_1_rmse_1,valid_1_rmse_2,valid_1_rmse_3,valid_1_rmse_4,best_iterations_0,best_iterations_1,best_iterations_2,best_iterations_3,best_iterations_4,training_rmse_mean,valid_rmse_mean,best_iter_mean,overfit_flag
0,"{'early_stopping_rounds': 10, 'learning_rate': 0.1, 'min_data_in_leaf': 500, 'num_leaves': 64, 'num_round': 200}",1418.7458077195513,1416.8953862733008,1412.065012737338,1416.752452709,1413.8247972720549,1639.2523842971912,1633.1866691141859,1649.8311028379433,1622.4790432749408,1637.352797291359,200,200,200,200,200,1415.656691342249,1636.420399363124,200.0,220.76370802087513
1,"{'early_stopping_rounds': 10, 'learning_rate': 0.1, 'min_data_in_leaf': 1000, 'num_leaves': 64, 'num_round': 200}",1470.6742892281575,1471.4640772550226,1468.1196595960007,1471.0976404983617,1468.2774995022055,1652.2546840853856,1643.9682253045721,1655.825686392511,1629.2732981002562,1649.4669786572358,200,200,200,200,200,1469.9266332159498,1646.1577745079921,200.0,176.23114129204237
2,"{'early_stopping_rounds': 10, 'learning_rate': 0.2, 'min_data_in_leaf': 500, 'num_leaves': 64, 'num_round': 200}",1369.3045453662862,1399.5365579427028,1393.1530281984803,1380.7140221158622,1392.8993513577998,1645.2348115542125,1645.8160675390127,1659.8574782623032,1635.6190945303886,1651.934002979649,149,121,129,141,128,1387.1215009962264,1647.6922909731134,133.6,260.570789976887
3,"{'early_stopping_rounds': 10, 'learning_rate': 0.2, 'min_data_in_leaf': 1000, 'num_leaves': 64, 'num_round': 200}",1376.8025824492956,1406.3500352634035,1382.634826259791,1418.9526526532802,1403.7888717325325,1648.8117982920855,1646.4319580419408,1659.3307579906295,1637.8572984343068,1657.1470226096815,200,172,200,152,166,1397.7057936716606,1649.9157670737288,178.0,252.20997340206827
4,"{'early_stopping_rounds': 10, 'learning_rate': 0.05, 'min_data_in_leaf': 500, 'num_leaves': 64, 'num_round': 200}",1512.1086663367105,1513.017035525208,1509.9503702635643,1518.3177207836986,1513.618225611518,1656.458421208084,1647.66742087216,1663.7682206903532,1635.1272434041923,1653.6827796070486,200,200,200,200,200,1513.40240370414,1651.3408171563678,200.0,137.9384134522279
5,"{'early_stopping_rounds': 10, 'learning_rate': 0.2, 'min_data_in_leaf': 500, 'num_leaves': 64, 'num_round': 100}",1427.387010195634,1430.3506287370642,1429.541628579005,1431.279228400468,1427.8931451875283,1651.8465244423808,1649.8615003391988,1663.1704426236915,1638.4995490072386,1654.979175851138,100,100,100,100,100,1429.29032821994,1651.6714384527295,100.0,222.38111023278952
6,"{'early_stopping_rounds': 10, 'learning_rate': 0.2, 'min_data_in_leaf': 500, 'num_leaves': 32, 'num_round': 200}",1423.8966030016898,1421.0648676442656,1419.9636539091946,1432.632808847764,1427.4700130483704,1658.2754011803427,1651.0964335225183,1662.0635275306513,1637.1793134071308,1659.4267326199085,200,200,200,200,200,1425.005589290257,1653.6082816521102,200.0,228.60269236185331
7,"{'early_stopping_rounds': 10, 'learning_rate': 0.1, 'min_data_in_leaf': 500, 'num_leaves': 32, 'num_round': 200}",1510.8433822213117,1514.49488301914,1512.8999263120982,1513.2415093645845,1513.0913626349832,1660.496575491047,1650.6728750898335,1664.833064301706,1639.1943811916228,1658.7002703496196,200,200,200,200,200,1512.9142127104235,1654.7794332847657,200.0,141.86522057434217
8,"{'early_stopping_rounds': 10, 'learning_rate': 0.1, 'min_data_in_leaf': 500, 'num_leaves': 64, 'num_round': 100}",1517.4972273651424,1518.5364641889648,1512.3910761430304,1519.0174019417993,1516.0553893468589,1659.7514420054772,1652.5433623479785,1669.4569840460615,1639.317842536847,1655.762554459595,100,100,100,100,100,1516.6995117971592,1655.3664370791917,100.0,138.66692528203248
9,"{'early_stopping_rounds': 10, 'learning_rate': 0.2, 'min_data_in_leaf': 1000, 'num_leaves': 32, 'num_round': 200}",1460.314231216418,1458.010608725034,1477.8497155560651,1463.6469828808802,1459.9314217618187,1657.329023689266,1654.826090387792,1669.2307334603277,1639.2392829746177,1659.6679309827332,200,200,173,200,200,1463.950592028043,1656.0586122989473,194.6,192.10802027090426
10,"{'early_stopping_rounds': 10, 'learning_rate': 0.1, 'min_data_in_leaf': 1000, 'num_leaves': 32, 'num_round': 200}",1536.257138204063,1537.1332174698753,1534.6232051398392,1538.4455849766093,1537.6204519517885,1664.8964866024005,1651.7986581272703,1669.9013118278417,1642.4266194811019,1661.3309509141163,200,200,200,200,200,1536.815919548435,1658.070805390546,200.0,121.25488584211098
11,"{'early_stopping_rounds': 10, 'learning_rate': 0.2, 'min_data_in_leaf': 1000, 'num_leaves': 64, 'num_round': 100}",1474.9669058878255,1481.470033896296,1482.609106566494,1477.0271800037028,1477.4952942541856,1658.6095644849888,1654.6804317385245,1668.3837838785664,1644.345967451764,1664.532955135903,100,100,100,100,100,1478.7137041217006,1658.1105405379494,100.0,179.3968364162488
12,"{'early_stopping_rounds': 10, 'learning_rate': 0.05, 'min_data_in_leaf': 1000, 'num_leaves': 64, 'num_round': 200}",1557.8775012967556,1556.7762619061536,1554.3847942338996,1559.800425591512,1557.290940464871,1671.6959449392248,1662.7967255202054,1674.8291601331227,1648.8529269415126,1669.4194479140272,200,200,200,200,200,1557.2259846986385,1665.5188410896185,200.0,108.29285639097998
13,"{'early_stopping_rounds': 10, 'learning_rate': 0.2, 'min_data_in_leaf': 500, 'num_leaves': 32, 'num_round': 100}",1519.106877352734,1518.1581883003873,1517.1884709495173,1523.9796598588355,1518.379020656826,1672.210057975058,1662.5348937781753,1676.695683994444,1646.1304482070068,1672.241852717503,100,100,100,100,100,1519.3624434236601,1665.9625873344376,100.0,146.60014391077743
14,"{'early_stopping_rounds': 10, 'learning_rate': 0.1, 'min_data_in_leaf': 1000, 'num_leaves': 64, 'num_round': 100}",1560.803604681676,1559.6740346040954,1555.8088621750069,1563.5327851126929,1557.9102506599652,1678.4653551395513,1665.1452078370535,1677.8051362453054,1650.8540029909398,1669.9869400502898,100,100,100,100,100,1559.5459074466871,1668.451328452628,100.0,108.90542100594098
15,"{'early_stopping_rounds': 10, 'learning_rate': 0.2, 'min_data_in_leaf': 1000, 'num_leaves': 32, 'num_round': 100}",1545.5798676463348,1544.3587252861075,1540.7174125063036,1546.648817100375,1547.3043601190886,1670.8648922767727,1666.368393984583,1681.3073403657877,1650.045806984636,1675.9586223139613,100,100,100,100,100,1544.921836531642,1668.909011185148,100.0,123.98717465350614
16,"{'early_stopping_rounds': 10, 'learning_rate': 0.2, 'min_data_in_leaf': 500, 'num_leaves': 64, 'num_round': 50}",1526.7001752243605,1526.4512741200317,1526.6956152912799,1529.8561036733236,1529.8426357954866,1673.6220769284976,1665.1547529523268,1680.016706713433,1654.8516526976327,1671.3922272718166,50,50,50,50,50,1527.9091608208964,1669.0074833127414,50.0,141.098322491845
17,"{'early_stopping_rounds': 10, 'learning_rate': 0.2, 'min_data_in_leaf': 1000, 'num_leaves': 16, 'num_round': 200}",1549.4930865863848,1542.5616860949253,1542.2916065334655,1548.5531666733698,1544.2324144455285,1678.6989789176891,1664.0549332898022,1679.883834435948,1650.3314385890458,1674.7510251227682,200,200,200,200,200,1545.426392066735,1669.5440420710506,200.0,124.11765000431569
18,"{'early_stopping_rounds': 10, 'learning_rate': 0.2, 'min_data_in_leaf': 500, 'num_leaves': 16, 'num_round': 200}",1528.4633580965967,1523.3005718905915,1526.6876391728358,1529.1210857206281,1522.1284024125787,1677.057704129106,1663.1407571385453,1682.6785429155505,1654.7062808667176,1675.3273544004448,200,200,200,200,200,1525.940211458646,1670.582127890073,200.0,144.64191643142703
19,"{'early_stopping_rounds': 10, 'learning_rate': 0.05, 'min_data_in_leaf': 500, 'num_leaves': 32, 'num_round': 200}",1594.4634678920197,1592.6422534981953,1592.3415755678257,1597.6470153036744,1592.6547944306549,1685.2484329795689,1671.179575347755,1686.5261728698313,1657.5943674124671,1679.4801534805526,200,200,200,200,200,1593.9498213384738,1676.0057404180347,200.0,82.05591907956091
20,"{'early_stopping_rounds': 10, 'learning_rate': 0.2, 'min_data_in_leaf': 1000, 'num_leaves': 64, 'num_round': 50}",1564.782881484999,1572.1002100926125,1568.4651689827274,1565.9941152327813,1569.7095502663678,1683.1301770827865,1677.238477140904,1690.1174505784343,1662.7430708231693,1685.9657459519444,50,50,50,50,50,1568.2103852118976,1679.8389843154478,50.0,111.62859910355019
21,"{'early_stopping_rounds': 10, 'learning_rate': 0.1, 'min_data_in_leaf': 500, 'num_leaves': 32, 'num_round': 100}",1598.563876964421,1599.8432571019418,1594.7363980015516,1600.6267616261057,1594.2846327494092,1688.8121581747334,1678.2817039357053,1689.549603409659,1665.0334880878058,1681.686960281445,100,100,100,100,100,1597.610985288686,1680.6727827778698,100.0,83.06179748918385
22,"{'early_stopping_rounds': 10, 'learning_rate': 0.05, 'min_data_in_leaf': 1000, 'num_leaves': 32, 'num_round': 200}",1613.6622182585118,1614.0175818370947,1611.8355875578816,1618.5600297804203,1613.1996963363886,1692.3218377398093,1682.0210577240935,1694.524544888916,1665.1234763998002,1686.9726883617263,200,200,200,200,200,1614.2550227540592,1684.192721022869,200.0,69.93769826880975
23,"{'early_stopping_rounds': 10, 'learning_rate': 0.1, 'min_data_in_leaf': 500, 'num_leaves': 16, 'num_round': 200}",1600.0116845657437,1599.4877855870093,1602.0852860490736,1607.8731812878123,1600.7442064140494,1690.5776022767914,1676.2904023128328,1695.8950788349223,1668.100539662179,1691.1106204712837,200,200,200,200,200,1602.0404287807376,1684.3948487116018,200.0,82.3544199308642
24,"{'early_stopping_rounds': 10, 'learning_rate': 0.1, 'min_data_in_leaf': 1000, 'num_leaves': 32, 'num_round': 100}",1617.2922753758135,1617.6794757763116,1614.6700755185107,1620.8470179157719,1616.4742081140362,1696.412091808341,1683.9401304434755,1698.1235579656736,1670.5039312358513,1690.2452225417503,100,100,100,100,100,1617.3926105400885,1687.8449867990184,100.0,70.45237625892992
25,"{'early_stopping_rounds': 10, 'learning_rate': 0.1, 'min_data_in_leaf': 1000, 'num_leaves': 16, 'num_round': 200}",1613.6766774449854,1616.9505480360474,1615.4094892007793,1623.4805230164457,1614.8803016921252,1691.0193457375472,1684.5052448468796,1699.3839747469099,1673.6383817347255,1691.6948946603297,200,200,200,200,200,1616.8795078780763,1688.0483683452785,200.0,71.1688604672022
26,"{'early_stopping_rounds': 10, 'learning_rate': 0.2, 'min_data_in_leaf': 500, 'num_leaves': 32, 'num_round': 50}",1605.0687359062067,1604.2554863389407,1601.9051212433203,1610.0454495491686,1604.72555850527,1700.1599334206526,1689.8208044620583,1700.328029801744,1671.075269793272,1695.9044448138125,50,50,50,50,50,1605.2000703085812,1691.457696458308,50.0,86.25762614972678
27,"{'early_stopping_rounds': 10, 'learning_rate': 0.05, 'min_data_in_leaf': 500, 'num_leaves': 64, 'num_round': 100}",1615.6848011516695,1615.911654610733,1614.3776887708327,1620.2481821378174,1616.1647518955515,1697.9465512231232,1691.6581861655102,1706.807996897395,1675.1697173273058,1695.2653351906922,100,100,100,100,100,1616.4774157133206,1693.3695573608052,100.0,76.89214164748455
28,"{'early_stopping_rounds': 10, 'learning_rate': 0.2, 'min_data_in_leaf': 500, 'num_leaves': 16, 'num_round': 100}",1613.124670855875,1612.2374510548893,1611.3065114698975,1615.051554586354,1606.707637829,1701.1359744751035,1686.3795314820297,1705.433469847783,1677.4290567765738,1698.6004333902354,100,100,100,100,100,1611.6855651592032,1693.7956931943452,100.0,82.110128035142
29,"{'early_stopping_rounds': 10, 'learning_rate': 0.1, 'min_data_in_leaf': 500, 'num_leaves': 64, 'num_round': 50}",1617.4688052840959,1617.2561643329452,1616.4869538414748,1621.9469081872533,1618.28501968885,1699.276648705161,1693.6950564038252,1708.4231927454816,1677.871380684605,1695.648345815683,50,50,50,50,50,1618.2887702669238,1694.9829248709514,50.0,76.69415460402752
30,"{'early_stopping_rounds': 10, 'learning_rate': 0.2, 'min_data_in_leaf': 1000, 'num_leaves': 16, 'num_round': 100}",1627.153046689854,1625.1222774100922,1621.8813897299087,1627.3013357908205,1618.442331830674,1707.5381573198142,1690.266332798694,1706.798656756708,1674.624920913349,1697.910523572794,100,100,100,100,100,1623.9800762902698,1695.427718272272,100.0,71.4476419820021
31,"{'early_stopping_rounds': 10, 'learning_rate': 0.2, 'min_data_in_leaf': 1000, 'num_leaves': 32, 'num_round': 50}",1628.3163760185532,1624.7045351629206,1620.5490980417674,1631.3261227574367,1629.0323248192717,1704.0492246733288,1695.1432500984154,1709.737183008796,1678.8513580783076,1705.1482228529958,50,50,50,50,50,1626.7856913599899,1698.5858477423687,50.0,71.80015638237887
32,"{'early_stopping_rounds': 10, 'learning_rate': 0.2, 'min_data_in_leaf': 500, 'num_leaves': 8, 'num_round': 200}",1627.7495825534804,1626.1292296000524,1618.9569788863203,1628.9203215577422,1626.0057508201603,1708.1934898913403,1694.6822040788602,1708.6343518348547,1683.0179016544778,1702.896331628833,200,200,200,200,200,1625.5523726835513,1699.4848558176734,200.0,73.9324831341221
33,"{'early_stopping_rounds': 10, 'learning_rate': 0.2, 'min_data_in_leaf': 1000, 'num_leaves': 8, 'num_round': 200}",1638.3921391612641,1635.0074799381493,1633.7971943004075,1635.14414418718,1639.92477008242,1709.3299994574713,1695.7964814818217,1714.0051289302978,1684.8651404972145,1707.8720597230317,200,200,200,200,200,1636.4531455338843,1702.3737620179677,200.0,65.92061648408344
34,"{'early_stopping_rounds': 10, 'learning_rate': 0.2, 'min_data_in_leaf': 5000, 'num_leaves': 64, 'num_round': 200}",1623.8094385956904,1626.6348547274215,1621.4816969964925,1623.7201592782083,1624.6181721344333,1708.8259613940336,1700.1528114238936,1714.120916599764,1689.1250240900151,1707.4094940481805,200,200,200,200,200,1624.052864346449,1703.9268415111776,200.0,79.87397716472856
35,"{'early_stopping_rounds': 10, 'learning_rate': 0.2, 'min_data_in_leaf': 5000, 'num_leaves': 32, 'num_round': 200}",1625.5142146930912,1625.4827602131375,1620.507344044316,1621.8443869268715,1625.039272712986,1712.6773976778088,1701.4684070561163,1711.9442682802069,1687.1703622018576,1706.5581891386303,200,200,200,200,200,1623.6775957180803,1703.9637248709241,200.0,80.28612915284384
36,"{'early_stopping_rounds': 10, 'learning_rate': 0.5, 'min_data_in_leaf': 5000, 'num_leaves': 64, 'num_round': 200}",1546.0430768623014,1548.6209350949875,1539.2262845786368,1542.4462892452432,1547.195955181312,1708.7806971261243,1707.5798498427505,1715.0714716424793,1689.4734146256485,1705.3853184607633,200,200,200,200,200,1544.7065081924961,1705.258150339553,200.0,160.55164214705678
37,"{'early_stopping_rounds': 10, 'learning_rate': 0.5, 'min_data_in_leaf': 5000, 'num_leaves': 32, 'num_round': 200}",1548.8746214750724,1552.2808062135766,1544.9652663510692,1550.991086586918,1547.9087715660892,1709.650182093955,1704.6088382818518,1713.6144374511732,1694.5280758103315,1711.9444262369773,200,200,200,200,200,1549.004110438545,1706.8691919748576,200.0,157.86508153631257
38,"{'early_stopping_rounds': 10, 'learning_rate': 0.5, 'min_data_in_leaf': 1000, 'num_leaves': 16, 'num_round': 200}",1524.4636819280395,1509.2086751721667,1481.1422142437102,1517.101104598929,1569.8714397257713,1716.5832612129552,1702.8489050752448,1710.2229390810478,1686.9749575673402,1719.2748189554175,143,147,179,134,88,1520.3574231337232,1707.180976378401,138.2,186.8235532446779
39,"{'early_stopping_rounds': 10, 'learning_rate': 0.5, 'min_data_in_leaf': 500, 'num_leaves': 16, 'num_round': 200}",1479.979254639423,1536.3895927972073,1474.0364071016909,1539.3257140836652,1496.9400904719585,1708.073815988922,1712.24811667398,1718.4075866770079,1693.425268223907,1723.6659430354534,159,110,161,106,144,1505.3342118187888,1711.1641461198542,136.0,205.82993430106535
40,"{'early_stopping_rounds': 10, 'learning_rate': 0.5, 'min_data_in_leaf': 5000, 'num_leaves': 16, 'num_round': 200}",1591.8220134087408,1598.0276137842575,1588.176333203475,1595.210077832464,1588.1528017976357,1712.7051816276446,1710.4447176077626,1719.483174632373,1702.9444019675416,1719.3268658494817,200,200,200,200,200,1592.2777680053146,1712.9808683369606,200.0,120.70310033164606
41,"{'early_stopping_rounds': 10, 'learning_rate': 0.5, 'min_data_in_leaf': 1000, 'num_leaves': 16, 'num_round': 100}",1565.830901682592,1560.2699571742164,1559.0138263894985,1559.2478579173307,1569.8714397257713,1721.1004621783898,1710.4195832069108,1720.8066815923337,1695.4634797002802,1719.2748189554175,100,100,100,100,88,1562.8467965778818,1713.4130051266663,97.6,150.56620854878452
42,"{'early_stopping_rounds': 10, 'learning_rate': 0.05, 'min_data_in_leaf': 1000, 'num_leaves': 64, 'num_round': 100}",1654.5175536374354,1654.4594550836248,1651.8766721419481,1659.5307606655158,1653.3876776050447,1721.9680155766362,1713.1523901610906,1723.244110633587,1694.9476569669835,1715.8931176497135,100,100,100,100,100,1654.754423826714,1713.8410581976023,100.0,59.086634370888305
43,"{'early_stopping_rounds': 10, 'learning_rate': 0.2, 'min_data_in_leaf': 5000, 'num_leaves': 16, 'num_round': 200}",1659.252218104033,1660.7804459286947,1652.5753463566361,1658.3209781890262,1656.6371313421582,1720.3115778104336,1714.8034888551397,1720.7813869426018,1697.5089971327593,1717.924506330606,200,200,200,200,200,1657.5132239841096,1714.2659914143082,200.0,56.75276743019867
44,"{'early_stopping_rounds': 10, 'learning_rate': 0.5, 'min_data_in_leaf': 500, 'num_leaves': 64, 'num_round': 200}",1472.4005633780268,1460.9832460851187,1408.0079397773704,1429.9900691564956,1468.8274663456584,1718.4695568861264,1713.581044738203,1726.1070346023832,1693.2216629130253,1721.5816833487502,42,48,67,58,43,1448.0418569485341,1714.5921964976976,51.6,266.5503395491635
45,"{'early_stopping_rounds': 10, 'learning_rate': 0.5, 'min_data_in_leaf': 500, 'num_leaves': 64, 'num_round': 100}",1472.4005633780268,1460.9832460851187,1408.0079397773704,1429.9900691564956,1468.8274663456584,1718.4695568861264,1713.581044738203,1726.1070346023832,1693.2216629130253,1721.5816833487502,42,48,67,58,43,1448.0418569485341,1714.5921964976976,51.6,266.5503395491635
46,"{'early_stopping_rounds': 10, 'learning_rate': 0.1, 'min_data_in_leaf': 1000, 'num_leaves': 64, 'num_round': 50}",1656.366066485843,1656.3105558590803,1651.8284502457793,1660.587413105321,1656.302695073786,1725.4172014698486,1712.0989596578643,1723.1308287850406,1696.1719151493428,1716.80973778838,50,50,50,50,50,1656.2790361539617,1714.725728570095,50.0,58.446692416133374
